embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
XGLM-T,merged,2,GaussianNB,reg,mmm,6120,139.5290880530083,0.0023469520205881174,2025-08-21 20:40:38.377734
mDeBERTa-T,merged,2,GaussianNB,reg,mean,6120,73.50290831099846,0.001195874951364257,2025-08-21 20:41:52.395296
mDeBERTa-T,merged,2,GaussianNB,reg,mmm,6120,73.95576233199972,0.0011995663872354679,2025-08-21 20:43:06.867780
XLM-R-T,merged,2,GaussianNB,reg,mean,6120,50.737373141993885,0.0008019190875778552,2025-08-21 20:43:58.114472
XLM-R-T,merged,2,GaussianNB,reg,mmm,6120,51.15123756900721,0.0008059887673317131,2025-08-21 20:44:49.776036
BGE-M3-S,merged,2,GaussianNB,reg,mean,6120,122.31561950600008,0.002044770256763519,2025-08-21 20:46:52.607626
BGE-M3-S,merged,2,GaussianNB,reg,mmm,6120,122.41019626999332,0.002040929220977962,2025-08-21 20:48:55.541627
MiniLM-S,merged,2,GaussianNB,reg,mean,6120,54.44281148498703,0.0006225093748409062,2025-08-21 20:49:50.501084
MiniLM-S,merged,2,GaussianNB,reg,mmm,6120,53.73502824299794,0.0006131209786454667,2025-08-21 20:50:44.752615
mE5-S,merged,2,GaussianNB,reg,mean,6120,53.96527827400132,0.0006073602159016163,2025-08-21 20:51:39.233807
mE5-S,merged,2,GaussianNB,reg,mmm,6120,53.643646582990186,0.0006007901682469036,2025-08-21 20:52:33.394698
MPNet-S,merged,2,GaussianNB,reg,mean,6120,59.32950071900268,0.0009244299874949331,2025-08-21 20:53:33.240146
MPNet-S,merged,2,GaussianNB,reg,mmm,6120,59.65137761400547,0.0009340302484612816,2025-08-21 20:54:33.413339
mBERT-T,merged,2,linear,deep,mean,6120,59.42405947200314,0.000957637179632253,2025-08-21 20:55:33.347045
mBERT-T,merged,2,linear,deep,mmm,6120,59.86148057699029,0.0009644474062232546,2025-08-21 20:56:33.714009
mT5-T,merged,2,linear,deep,mean,6120,65.29364215799433,0.001150198873004036,2025-08-21 20:57:39.523240
mT5-T,merged,2,linear,deep,mmm,6120,64.32563644499169,0.0010243556840021898,2025-08-21 20:58:44.371632
XGLM-T,merged,2,linear,deep,mean,6120,141.155069586006,0.0023790972681648165,2025-08-21 21:01:06.042638
XGLM-T,merged,2,linear,deep,mmm,6120,143.09387757199875,0.002405597615298069,2025-08-21 21:03:29.640298
mDeBERTa-T,merged,2,linear,deep,mean,6120,73.87037905699981,0.00120276674175061,2025-08-21 21:04:44.026928
mDeBERTa-T,merged,2,linear,deep,mmm,6120,74.0586999389925,0.0012061710580552017,2025-08-21 21:05:58.602012
XLM-R-T,merged,2,linear,deep,mean,6120,51.87474128000031,0.0008093167264764938,2025-08-21 21:06:50.993094
XLM-R-T,merged,2,linear,deep,mmm,6120,51.932200395007385,0.0008090817139249291,2025-08-21 21:07:43.439504
BGE-M3-S,merged,2,linear,deep,mean,6120,122.40843561499787,0.002037711068028019,2025-08-21 21:09:46.364412
BGE-M3-S,merged,2,linear,deep,mmm,6120,122.1755680119968,0.002040710838855963,2025-08-21 21:11:49.055174
MiniLM-S,merged,2,linear,deep,mean,6120,54.23328108800342,0.0006168847674932123,2025-08-21 21:12:43.807417
MiniLM-S,merged,2,linear,deep,mmm,6120,53.98762293499021,0.0006137694200823316,2025-08-21 21:13:38.313380
mE5-S,merged,2,linear,deep,mean,6120,53.287086639000336,0.0005991700224576197,2025-08-21 21:14:32.117439
mE5-S,merged,2,linear,deep,mmm,6120,54.36515146199963,0.0006124097865015246,2025-08-21 21:15:26.999945
MPNet-S,merged,2,linear,deep,mean,6120,59.35442806800711,0.0009282129301530366,2025-08-21 21:16:26.875587
MPNet-S,merged,2,linear,deep,mmm,6120,59.797091813990846,0.0009336828162914545,2025-08-21 21:17:27.188273
mBERT-T,merged,2,resmicro,deep,mean,6120,59.49585539899999,0.0009600833633557141,2025-08-21 21:18:27.189999
mBERT-T,merged,2,resmicro,deep,mmm,6120,59.682239961999585,0.0009606459996931277,2025-08-21 21:19:27.377305
mT5-T,merged,2,resmicro,deep,mean,6120,64.9666931279935,0.0011460852514804055,2025-08-21 21:20:32.859439
mT5-T,merged,2,resmicro,deep,mmm,6120,64.46614989099908,0.0010284697962867338,2025-08-21 21:21:37.842763
XGLM-T,merged,2,resmicro,deep,mean,6120,141.52127874200232,0.002378352967049685,2025-08-21 21:23:59.879603
XGLM-T,merged,2,resmicro,deep,mmm,6120,140.9519292019977,0.0023744275385008747,2025-08-21 21:26:21.334815
mDeBERTa-T,merged,2,resmicro,deep,mean,6120,74.1687729480036,0.0012044939065554146,2025-08-21 21:27:36.020152
mDeBERTa-T,merged,2,resmicro,deep,mmm,6120,74.0280540209933,0.001203246451641594,2025-08-21 21:28:50.563958
XLM-R-T,merged,2,resmicro,deep,mean,6120,51.120676434002235,0.0008072727688882011,2025-08-21 21:29:42.196165
XLM-R-T,merged,2,resmicro,deep,mmm,6120,51.220540709997294,0.0008080856207482785,2025-08-21 21:30:33.931822
BGE-M3-S,merged,2,resmicro,deep,mean,6120,121.99519863299793,0.0020351596495389477,2025-08-21 21:32:36.442734
BGE-M3-S,merged,2,resmicro,deep,mmm,6120,121.97944570799882,0.002032088710036282,2025-08-21 21:34:38.939006
MiniLM-S,merged,2,resmicro,deep,mean,6120,53.60075851199508,0.0006122321692763994,2025-08-21 21:35:33.060301
MiniLM-S,merged,2,resmicro,deep,mmm,6120,53.97734550200403,0.0006147820048472498,2025-08-21 21:36:27.554416
mE5-S,merged,2,resmicro,deep,mean,6120,54.006277602005866,0.0006062957673697944,2025-08-21 21:37:22.078866
mE5-S,merged,2,resmicro,deep,mmm,6120,53.35443577400292,0.0006015893778226606,2025-08-21 21:38:15.949929
MPNet-S,merged,2,resmicro,deep,mean,6120,59.1081119570008,0.0009249839047113447,2025-08-21 21:39:15.578552
MPNet-S,merged,2,resmicro,deep,mmm,6120,59.04688881499169,0.0009281103779802984,2025-08-21 21:40:15.144314
mBERT-T,merged,2,microffn,deep,mean,6120,59.33999892299471,0.0009551371146067091,2025-08-21 21:41:14.990547
mBERT-T,merged,2,microffn,deep,mmm,6120,60.22284774199943,0.0009662939897021088,2025-08-21 21:42:15.718876
mT5-T,merged,2,microffn,deep,mean,6120,64.62596343801124,0.001025335493493733,2025-08-21 21:43:20.862333
mT5-T,merged,2,microffn,deep,mmm,6120,64.69625503399584,0.0010292866692220768,2025-08-21 21:44:26.075608
XGLM-T,merged,2,microffn,deep,mean,6120,140.88335733499844,0.0023730780160541322,2025-08-21 21:46:47.470323
XGLM-T,merged,2,microffn,deep,mmm,6120,140.94550596199406,0.0023750678994164253,2025-08-21 21:49:08.925878
mDeBERTa-T,merged,2,microffn,deep,mean,6120,73.65999135099992,0.001196936476966406,2025-08-21 21:50:23.105710
mDeBERTa-T,merged,2,microffn,deep,mmm,6120,75.27462683500198,0.0012195970801536465,2025-08-21 21:51:38.902340
XLM-R-T,merged,2,microffn,deep,mean,6120,51.25306080399605,0.000808193798152363,2025-08-21 21:52:30.670200
XLM-R-T,merged,2,microffn,deep,mmm,6120,51.596279357007006,0.0008131032785604308,2025-08-21 21:53:22.779131
BGE-M3-S,merged,2,microffn,deep,mean,6120,122.33005848000175,0.002042824983617698,2025-08-21 21:55:25.629783
BGE-M3-S,merged,2,microffn,deep,mmm,6120,121.5065570630104,0.002029918173811337,2025-08-21 21:57:27.655648
MiniLM-S,merged,2,microffn,deep,mean,6120,53.36829407099867,0.0006124090951440569,2025-08-21 21:58:21.540839
MiniLM-S,merged,2,microffn,deep,mmm,6120,53.20061102999898,0.0006071295136733506,2025-08-21 21:59:15.257223
mE5-S,merged,2,microffn,deep,mean,6120,53.670482247995096,0.0006038636184545046,2025-08-21 22:00:09.444368
mE5-S,merged,2,microffn,deep,mmm,6120,53.22307791598723,0.0005981824868296749,2025-08-21 22:01:03.184239
MPNet-S,merged,2,microffn,deep,mean,6120,59.0627797460038,0.0009240507967667584,2025-08-21 22:02:02.764087
MPNet-S,merged,2,microffn,deep,mmm,6120,59.22573264200764,0.00093028534356357,2025-08-21 22:03:02.506446
mBERT-T,merged,3,LightGBM,reg,mean,6120,59.787733799996204,0.0009627997586967089,2025-08-21 22:04:02.820493
mBERT-T,merged,3,LightGBM,reg,mmm,6120,60.38697432700428,0.000973835281662086,2025-08-21 22:05:03.712531
mT5-T,merged,3,LightGBM,reg,mean,6120,65.19622280099429,0.0011520068511908022,2025-08-21 22:06:09.428483
mT5-T,merged,3,LightGBM,reg,mmm,6120,66.79915680100385,0.0010626928821403094,2025-08-21 22:07:16.750911
