FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-MiniLM-S,mean,arabic,KMeans++,11.812577004544435,0.1279619860201605,3760.203698635272,2.343834554966442,0.7336325278548477,0.7455039985381715,0.7455039985381716,0.767387254264276,0.7248342098683237,0.8586694381413322,1400,25.76596230000723,0.0002518979651878,54.335249881181696,0.01840425878571945,1.7992711799128572e-07
FE-MiniLM-S,mmm,arabic,KMeans,5.175369867123663,0.0991124256367007,2704.7254585462074,2.624270684944885,0.673280785761612,0.696202653891374,0.6962026538913739,0.7362670594810607,0.6602734834878808,0.7921986775248787,1400,26.146145766004334,0.0002551925748578,53.54517688875979,0.01867581840428881,1.8228041061271427e-07
FE-MiniLM-S,mmm,arabic,KMeans++,27.698145726695657,0.0878067877850655,2058.162201663569,2.9731322406672525,0.5528020704349446,0.6749543930156533,0.6749543930156533,0.7711426331757101,0.6001009809575982,0.7183523649956568,1400,25.791925748009817,0.0002535314798196,54.28055328935755,0.018422804105721297,1.8109391415685713e-07
FE-mE5-S,mean,arabic,KMeans,37.45654425304383,0.0511528431659517,1358.806127273023,3.740167686580843,0.8062174370857654,0.8394904573141595,0.8394904573141596,0.8851057529742402,0.7983464373412674,0.8857232728453682,1400,26.89385311100341,0.0003305782325952,52.05650503933187,0.01920989507928815,2.361273089965714e-07
FE-mE5-S,mean,arabic,KMeans++,23.87771267257631,0.0737949859150979,1758.4436429692712,3.521588975759895,0.7533467470618818,0.8298847564341465,0.8298847564341465,0.787254817406354,0.8773958423434952,0.7633906278856744,1400,26.822326931011048,0.0003236767269201,52.19532233727896,0.019158804950722176,2.3119766208578572e-07
FE-mE5-S,mmm,arabic,KMeans,11.519512459635736,0.0324134464166858,874.6599571718749,4.494944481013016,0.5756342836173254,0.7502707399633423,0.7502707399633424,0.8840223504243488,0.6516732874753909,0.7383576286819995,1400,27.46817124298832,0.000341056879017,50.96808184335795,0.019620122316420227,2.4361205644071425e-07
FE-mE5-S,mmm,arabic,KMeans++,41.20121532958001,0.0461475867598589,1201.796004442101,4.105911472245558,0.6892116921803039,0.7780725992796422,0.7780725992796422,0.8438080405628509,0.72183895384665,0.8073071114906496,1400,27.27866301400354,0.0003400108020944,51.32216338026933,0.019484759295716816,2.428648586388571e-07
FE-XLM-R-T,mean,chinese,KMeans,53.788798307068646,0.0151801294789202,784.2304355689639,4.056752444546377,0.0865481539299388,0.192352437554391,0.192352437554391,0.1968701477480116,0.1880374178864273,0.3187073530271817,3000,25.1733758749906,0.0002476265529648,119.17352741633903,0.008391125291663533,8.25421843216e-08
FE-XLM-R-T,mean,chinese,KMeans++,76.40625110361725,0.0145587716352485,815.6923939738404,4.05100505088885,0.0843260676649055,0.1874494901668318,0.1874494901668318,0.1897484290915224,0.1852055909985727,0.3133202529731981,3000,25.31142238499888,0.000251236178527,118.52356435638268,0.008437140794999628,8.374539284233334e-08
FE-XLM-R-T,mmm,chinese,KMeans,104.31225646287204,0.0162957426834011,873.0032207839705,4.2831543021784695,0.0658620506284588,0.1495751437061651,0.1495751437061651,0.1491717734236256,0.1499807013830894,0.2637942945715367,3000,24.93929301800381,0.0002299807680693,120.29210282080908,0.008313097672667937,7.666025602309999e-08
FE-XLM-R-T,mmm,chinese,KMeans++,115.09596061427146,0.0164603754380409,873.0074787783292,4.280568600983924,0.0657246858242672,0.1501967360104517,0.1501967360104517,0.1497837927827714,0.1506119624427838,0.2646830681103811,3000,25.14385445599328,0.0002439991379959,119.31344914720984,0.008381284818664427,8.133304599863334e-08
FE-mBERT-T,mean,chinese,KMeans,71.31936530210078,0.0134920496123784,1011.093279423822,4.244276898613788,0.0242945829309016,0.0653202149164006,0.0653202149164006,0.0674402864060764,0.0633293751689786,0.1698422196216634,3000,24.79635428199253,0.0002272646756129,120.98552738370266,0.008265451427330844,7.575489187096666e-08
FE-mBERT-T,mean,chinese,KMeans++,91.552286808379,0.0137479726821203,1286.575005890223,4.081582657058819,0.0201711199692964,0.0482897704922025,0.0482897704922025,0.0474205591546875,0.0491914418286086,0.1554715939651399,3000,24.5981169979932,0.0002210356949844,121.96055495811937,0.0081993723326644,7.36785649948e-08
FE-mBERT-T,mmm,chinese,KMeans,71.48085299134254,0.0106262813130307,1260.6902580768212,4.601185123680408,0.014246043687388,0.036898183474388,0.036898183474388,0.034904851023445,0.0391329738970274,0.1358985688450185,3000,24.788353659998396,0.0002233049703691,121.02457634534952,0.008262784553332798,7.443499012303333e-08
